|vl|00005|78|-2.0664e-01|-2.7878e-01|1.1037e+00|-1.6816e-04|3.5970e-04|-4.6528e-04|
|vl|00005|80|-2.2702e-01|-2.3479e-01|1.0445e+00|-1.7134e-04|3.7359e-04|-5.2219e-04|
|vl|00005|82|-2.4773e-01|-1.8931e-01|9.7848e-01|-1.7347e-04|3.8464e-04|-5.7816e-04|
|vl|00005|84|-2.6861e-01|-1.4269e-01|9.0586e-01|-1.7431e-04|3.9257e-04|-6.3285e-04|
|vl|00005|86|-2.8951e-01|-9.5325e-02|8.2678e-01|-1.7357e-04|3.9713e-04|-6.8585e-04|
|vl|00005|88|-3.1020e-01|-4.7632e-02|7.4147e-01|-1.7095e-04|3.9806e-04|-7.3669e-04|
|vl|00005|90|-3.3045e-01|-6.3506e-05|6.5021e-01|-1.6610e-04|3.9510e-04|-7.8479e-04|
|vl|00005|92|-3.4997e-01|4.6900e-02|5.5338e-01|-1.5864e-04|3.8802e-04|-8.2948e-04|
|vl|00005|94|-3.6841e-01|9.2751e-02|4.5143e-01|-1.4818e-04|3.7661e-04|-8.6996e-04|
|vl|00005|96|-3.8538e-01|1.3696e-01|3.4492e-01|-1.3431e-04|3.6072e-04|-9.0530e-04|
|vl|00005|98|-4.0047e-01|1.7898e-01|2.3453e-01|-1.1665e-04|3.4025e-04|-9.3443e-04|
|vl|00005|100|-4.1318e-01|2.1827e-01|1.2108e-01|-9.4822e-05|3.1520e-04|-9.5613e-04|
|vl|00005|102|-4.2300e-01|2.5428e-01|5.5484e-03|-6.8561e-05|2.8571e-04|-9.6906e-04|
|vl|00005|104|-4.2939e-01|2.8650e-01|-1.1093e-01|-3.7718e-05|2.5206e-04|-9.7174e-04|
|vl|00005|106|-4.3180e-01|3.1446e-01|-2.2703e-01|-2.3431e-06|2.1469e-04|-9.6262e-04|
|vl|00005|108|-4.2971e-01|3.3773e-01|-3.4125e-01|3.7242e-05|1.7424e-04|-9.4018e-04|
|vl|00005|110|-4.2265e-01|3.5602e-01|-4.5189e-01|8.0372e-05|1.3153e-04|-9.0297e-04|
|vl|00005|112|-4.1026e-01|3.6910e-01|-5.5711e-01|1.2597e-04|8.7539e-05|-8.4981e-04|
|vl|00005|114|-3.9233e-01|3.7688e-01|-6.5495e-01|1.7254e-04|4.3335e-05|-7.7995e-04|
|vl|00005|116|-3.6887e-01|3.7941e-01|-7.4340e-01|2.1814e-04|1.7881e-10|-6.9326e-04|
|vl|00005|118|-3.4011e-01|3.7684e-01|-8.2048e-01|2.6053e-04|-4.1493e-05|-5.9042e-04|
|vl|00005|120|-3.0659e-01|3.6944e-01|-8.8434e-01|2.9734e-04|-8.0390e-05|-4.7303e-04|
|vl|00005|122|-2.6910e-01|3.5756e-01|-9.3339e-01|3.2631e-04|-1.1625e-04|-3.4366e-04|
|vl|00005|124|-2.2871e-01|3.4158e-01|-9.6640e-01|3.4563e-04|-1.4898e-04|-2.0578e-04|
|vl|00005|126|-1.8663e-01|3.2185e-01|-9.8258e-01|3.5414e-04|-1.7882e-04|-6.3492e-05|
|vl|00005|128|-1.4419e-01|2.9870e-01|-9.8167e-01|3.5160e-04|-2.0620e-04|7.8775e-05|
|vl|00005|130|-1.0269e-01|2.7239e-01|-9.6393e-01|3.3863e-04|-2.3163e-04|2.1669e-04|
|vl|00005|132|-6.3283e-02|2.4314e-01|-9.3012e-01|3.1669e-04|-2.5556e-04|3.4637e-04|
|vl|00005|134|-2.6946e-02|2.1111e-01|-8.8141e-01|2.8778e-04|-2.7821e-04|4.6470e-04|
|vl|00005|136|5.6226e-03|1.7645e-01|-8.1931e-01|2.5416e-04|-2.9957e-04|5.6947e-04|
|vl|00005|138|3.3991e-02|1.3932e-01|-7.4553e-01|2.1807e-04|-3.1940e-04|6.5942e-04|
|vl|00005|140|5.7984e-02|9.9928e-02|-6.6187e-01|1.8151e-04|-3.3728e-04|7.3411e-04|
|vl|00005|142|7.7644e-02|5.8536e-02|-5.7014e-01|1.4608e-04|-3.5274e-04|7.9382e-04|
|vl|00005|144|9.3178e-02|1.5461e-02|-4.7212e-01|1.1292e-04|-3.6529e-04|8.3930e-04|
|vl|00005|146|1.0491e-01|-2.8920e-02|-3.6944e-01|8.2765e-05|-3.7450e-04|8.7164e-04|
|vl|00005|148|1.1322e-01|-7.4190e-02|-2.6360e-01|5.5991e-05|-3.8008e-04|8.9211e-04|
|vl|00005|150|1.1853e-01|-1.1990e-01|-1.5595e-01|3.2669e-05|-3.8185e-04|9.0201e-04|
|vl|00005|152|1.2124e-01|-1.6559e-01|-4.7683e-02|1.2673e-05|-3.7977e-04|9.0261e-04|
|vl|00005|154|1.2174e-01|-2.1080e-01|6.0161e-02|-4.2593e-06|-3.7389e-04|8.9512e-04|
|vl|00005|156|1.2037e-01|-2.5508e-01|1.6668e-01|-1.8466e-05|-3.6436e-04|8.8063e-04|
